skuId,refId,markup,listPrice,basePrice,costPrice
,94295526,,115,115,115
,69851710,,115,115,115
,96490859,,115,115,115
,93386015,,115,115,115
,96068520,,115,115,115
,87133968,,115,115,115
,95376202,,115,115,115
,93390000,,115,115,115
,94124985,,115,115,115
,96393165,,115,115,115
,95325348,,115,115,115
,81684029,,115,115,115
,94124781,,115,115,115
,94049688,,115,115,115
,95584479,,115,115,115
,96017408,,115,115,115
,95280088,,115,115,115
,94884825,,115,115,115
,96310652,,115,115,115
,95325399,,115,115,115
,94114629,,115,115,115
,93503119,,349,349,349
,85118289,,349,349,349
,95767868,,349,349,349
,95765260,,349,349,349
,95192233,,349,349,349
,95597741,,349,349,349
,77082226,,349,349,349
,93502434,,99.50,92.50,92.50
,95870495,,99.50,92.50,92.50
,96234355,,99.50,92.50,92.50
,95584466,,99.50,92.50,92.50
,93385929,,99.50,92.50,92.50
,94911040,,99.50,92.50,92.50
,94338892,,99.50,92.50,92.50
,94926950,,99.50,92.50,92.50
,95702026,,99.50,92.50,92.50
,94668726,,99.50,92.50,92.50
,96069326,,99.50,92.50,92.50
,95694780,,99.50,92.50,92.50
,94295675,,99.50,92.50,92.50
,94052201,,99.50,92.50,92.50
,94907545,,99.50,92.50,92.50
,96213255,,99.50,92.50,92.50
,95933884,,99.50,92.50,92.50
,96172768,,99.50,92.50,92.50
,95675036,,99.50,92.50,92.50
,95636705,,99.50,92.50,92.50
,95762633,,99.50,92.50,92.50
,77082350,,99.50,92.50,92.50
,95280964,,99.50,92.50,92.50
,96213063,,99.50,92.50,92.50
,95939045,,99.50,92.50,92.50
,94394306,,99.50,92.50,92.50
,94956741,,99.50,92.50,92.50
,81688410,,99.50,92.50,92.50
,95397475,,84.50,35.99,35.99
,94421050,,84.50,35.99,35.99
,95606642,,84.50,35.99,35.99
,87133067,,84.50,35.99,35.99
,95368956,,84.50,35.99,35.99
,84486397,,84.50,35.99,35.99
,95636912,,84.50,35.99,35.99
,94669028,,170,170,170
,96234303,,170,170,170
,96481474,,170,170,170
,69853172,,170,170,170
,95191695,,170,170,170
,95191822,,170,170,170
,81688268,,170,170,170
,92023315,,170,170,170
,94685873,,170,170,170
,38359425,,170,170,170
,96784308,,170,170,170
,95478558,,170,170,170
,92830229,,65,65,65
,96475753,,65,65,65
,94223617,,65,65,65
,93389977,,65,65,65
,96028463,,65,65,65
,94897251,,65,65,65
,97082135,,65,65,65
,97054027,,65,65,65
,92911788,,65,65,65
,95938610,,65,65,65
,95191464,,65,65,65
,94468159,,65,65,65
,95666536,,65,65,65
,96212978,,65,65,65
,92912135,,65,65,65
,96031148,,70,70,70
,92023108,,70,70,70
,96481544,,70,70,70
,95325704,,70,70,70
