SkuRefId,Name,Value
92911749,Size,S
93504324,Size,M
96068423,Size,L
96065180,Size,XL
94124958,Size,XXL
96475765,Size,XS
93952485,Size,S
95938755,Size,M
87133070,Size,L
91692204,Size,XL
96341142,Size,XXL
96143937,Size,6
95946111,Size,6.5
96393114,Size,7
93952458,Size,7.5
96062592,Size,8
69851474,Size,8.5
94125071,Size,9
95329331,Size,9.5
95931055,Size,10
87970498,Size,10.5
82539803,Size,11
97028175,Size,11.5
94245443,Size,12
95393851,Size,12.5
96028476,Size,13
88516394,Size,14
93503989,Size,6
94907078,Size,6.5
94394715,Size,7
92407090,Size,7.5
96540090,Size,8
96062635,Size,8.5
94339589,Size,9
87134490,Size,9.5
96310677,Size,10
96062578,Size,10.5
95377010,Size,11
80579787,Size,11.5
92022573,Size,12
96027700,Size,12.5
84486402,Size,13
91415958,Size,14
85380345,Size,6
95938155,Size,6.5
96031162,Size,7
61019578,Size,7.5
95996451,Size,8
97082065,Size,8.5
94339986,Size,9
94372791,Size,9.5
96405226,Size,10
96116691,Size,10.5
95591231,Size,11
92820099,Size,11.5
95596906,Size,12
95606820,Size,12.5
87970556,Size,13
95933872,Size,14
49164988,Size,6
94426700,Size,6.5
95675063,Size,7
94468283,Size,7.5
95591461,Size,8
96079834,Size,8.5
87140637,Size,9
81683919,Size,9.5
95994850,Size,10
94047186,Size,10.5
94978387,Size,11
95067671,Size,11.5
96481091,Size,12
96341139,Size,12.5
91693433,Size,13
96481447,Size,14
94394742,Size,6
87134246,Size,6.5
94190781,Size,7
93385968,Size,7.5
87133971,Size,8
93504254,Size,8.5
94200832,Size,9
93952352,Size,9.5
96475669,Size,10
94164208,Size,10.5
87099957,Size,11
54483818,Size,11.5
96172935,Size,12
84486385,Size,12.5
96049225,Size,13
94394851,Size,14
94338623,Size,6
95393890,Size,6.5
93389882,Size,7
94134456,Size,7.5
52298650,Size,8
95930126,Size,8.5
94260809,Size,9
94686148,Size,9.5
96233847,Size,10
77082214,Size,10.5
95689526,Size,11
96079931,Size,11.5
94907966,Size,12
96172923,Size,12.5
96062648,Size,13
94906943,Size,14
96017220,Size,6
95938167,Size,6.5
94573402,Size,7
82273563,Size,7.5
96549871,Size,8
94338156,Size,8.5
75505423,Size,9
92819880,Size,9.5
96481517,Size,10
97186778,Size,10.5
95369724,Size,11
92407294,Size,11.5
80331907,Size,12
92830013,Size,12.5
92407421,Size,13
92383237,Size,14
94426629,Size,6
96062565,Size,6.5
81688461,Size,7
95325387,Size,7.5
95192112,Size,8
93501545,Size,8.5
38359440,Size,9
49164990,Size,9.5
95938182,Size,10
96481122,Size,10.5
93389567,Size,11
94978431,Size,11.5
95597780,Size,12
94908013,Size,12.5
94394224,Size,13
94898211,Size,14
95999270,Size,6
95701219,Size,6.5
93096810,Size,7
93423675,Size,7.5
94491250,Size,8
96617630,Size,8.5
95930932,Size,9
94338865,Size,9.5
92023269,Size,10
59811719,Size,10.5
94956808,Size,11
94476536,Size,11.5
94049120,Size,12
75505408,Size,12.5
95989195,Size,13
96481174,Size,14
87133929,Size,6
91384194,Size,6.5
95591268,Size,7
94421105,Size,7.5
96030124,Size,8
96481204,Size,8.5
94468295,Size,9
56361271,Size,9.5
90053965,Size,10
95531116,Size,10.5
92819226,Size,11
92912284,Size,11.5
94476512,Size,12
94340157,Size,12.5
96310689,Size,13
66733158,Size,14
95191440,Size,6
96033325,Size,6.5
94421048,Size,7
91081254,Size,7.5
94508668,Size,8
87134027,Size,8.5
96337277,Size,9
95596890,Size,9.5
93389555,Size,10
94394373,Size,10.5
95666427,Size,11
95004967,Size,11.5
96049240,Size,12
92911630,Size,12.5
97081994,Size,13
95938910,Size,14
91384200,Size,6
93423335,Size,6.5
96213049,Size,7
94124742,Size,7.5
95591486,Size,8
94394697,Size,8.5
94685806,Size,9
52298648,Size,9.5
81684178,Size,10
92407282,Size,10.5
95280337,Size,11
92023041,Size,11.5
92022628,Size,12
