warehouseId,skuId,refId,unlimitedQuantity,dateUtcOnBalanceSystem,quantity
1,,95597850,true,,18
1,,95859437,true,,31
1,,96405171,true,,20
1,,96213377,true,,14
1,,93501448,true,,3
1,,95668995,true,,6
1,,95994765,true,,23
1,,96017302,true,,38
1,,94958833,true,,24
1,,94911052,true,,23
1,,94668996,true,,5
1,,87134846,true,,8
1,,93389937,true,,24
1,,96068499,true,,22
1,,95689265,true,,8
1,,80999846,true,,8
1,,93060124,true,,8
1,,94260793,true,,25
1,,81689024,true,,44
1,,96287257,true,,21
1,,87133016,true,,26
1,,96062238,true,,8
1,,95397532,true,,8
1,,85087277,true,,26
1,,93502422,true,,45
1,,94295650,true,,23
1,,87538454,true,,24
1,,94223725,true,,9
1,,96031218,true,,9
1,,94394702,true,,39
1,,89796749,true,,70
1,,94125095,true,,35
1,,94508656,true,,1
1,,94578980,true,,8
1,,96540088,true,,39
1,,95933775,true,,70
1,,94237001,true,,35
1,,96475850,true,,3
1,,96234343,true,,9
1,,95067777,true,,51
1,,95641213,true,,87
1,,95931477,true,,47
1,,81683536,true,,5
1,,80331767,true,,9
1,,81689036,true,,51
1,,96212953,true,,87
1,,95325662,true,,48
1,,95669002,true,,7
1,,95930887,true,,9
1,,93386002,true,,51
1,,93389582,true,,87
1,,96068505,true,,38
1,,87970474,true,,5
1,,95376363,true,,10
1,,95072065,true,,77
1,,93501596,true,,144
1,,96213009,true,,71
1,,96784292,true,,12
1,,93503133,true,,7
1,,95933602,true,,62
1,,95694741,true,,137
1,,92023218,true,,64
1,,94476179,true,,7
1,,93389516,true,,10
1,,93389964,true,,83
1,,96481040,true,,158
1,,96341096,true,,73
1,,92023393,true,,5
1,,93502568,true,,8
1,,87134885,true,,5
1,,95765297,true,,27
1,,95954715,true,,9
1,,95606748,true,,13
1,,95736669,true,,8
1,,69851901,true,,10
1,,95397354,true,,1
1,,81688486,true,,3
1,,56361161,true,,14
1,,95591256,true,,15
1,,95376963,true,,8
1,,94956835,true,,2
1,,96017078,true,,8
1,,94338580,true,,10
1,,95369246,true,,23
1,,96213473,true,,5
1,,95931016,true,,9
1,,95870526,true,,1
1,,80715875,true,,7
1,,94476045,true,,2
1,,92407300,true,,19
1,,95694726,true,,7
1,,94685860,true,,9
1,,93389913,true,,29
1,,92022724,true,,49
1,,96068393,true,,21
1,,95759170,true,,4
1,,94134311,true,,15
1,,94476018,true,,7
1,,96028343,true,,107
1,,94338880,true,,98
1,,49165007,true,,55
1,,95191917,true,,4
1,,96068366,true,,9
1,,95701109,true,,14
1,,95131160,true,,10
1,,91270681,true,,105
1,,87133140,true,,106
1,,94426598,true,,38
1,,96213173,true,,10
1,,88516355,true,,12
1,,93501639,true,,10
1,,95005092,true,,70
1,,94476057,true,,57
